state,district,school_name,School Management,Address,Class,Edu. District,Edu. Block,LGD Block,LGD Panchayat,LGD Village,LGD Ward,class,School Type,School Category,School Location,School Type,State,Urban Local Body
GUJARAT,AHMEDABAD,ABASANA PRIMARY SCHOOL,3-Local Body,"ABASANA PRI. SCHOOL, TA - DETROJ, DIST - AHMEDABAD",,Ahmedabad,Detroj-rampura,Detroj Rampura,Abasna,Abasna,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,A.B ENGLISH SCHOOL,5-Pvt. Unaided (Recognized),"BAPUNAGAR ROAD, BAPUNAGAR,AHMEDABAD",1 To 5,Ahmedabad,Amc,NA,,,"Bapurnagar, Ahmedabad (M.Corp.) Ward No. 26",,,1-Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ABHESANGPURA PRIMARY SCHOOL,3-Local Body,"AT - ABHESANGPURA , TA - VIRAMGAM , DIST -AHMEDABAD , PIN- 382150",,Ahmedabad,Viramgam,Viramgam,Sachana,Sachana,,1 To 5,3-Co-educational,1-Primary,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,ABHIJAT SHISHU VIHAR,5-Pvt. Unaided (Recognized),"Vishwabharati Shikshan Sankul, Gurukul Road, Memnagar, Ahmedabad-380052",,Ahmedabad,Amc,NA,,,"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ABHIJIT VIDYAVIHAR MEMNAGAR,5-Pvt. Unaided (Recognized),"VISHWABHARATI SHIKSHAN SANKUL, GURUKUL ROAD, MEMNAGAR, AHMEDABAD",,Ahmedabad,City,NA,,,"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",9 To 12,3-Co-educational,10-Secondary with Higher Secondary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ABHINAV PRI. SCHOOL (PRIVATE),5-Pvt. Unaided (Recognized),ABHINAV PRIMARY SCHOOL AHMEDABAD,1 To 8,Ahmedabad,Amc,NA,,,"Chandkheda, Ahmedabad (M.Corp.) Ward No. 3",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,A.B.HINDI HIGH SCHOOL,5-Pvt. Unaided (Recognized),BACHUBHAI KA KUNWA NEW VATVA AHMEDABAD,,Ahmedabad,Amc,NA,,,"Vatava, Ahmedabad (M.Corp.) Ward No. 47",1 To 12,3-Co-educational,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,A B HINDI SCHOOL,5-Pvt. Unaided (Recognized),NA,1 To 8,Ahmedabad,Amc,NA,,,"Ramol Hathijan, Ahmedabad (M.Corp.) Ward No. 48",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ABHISHEK VIDHYALAYA,5-Pvt. Unaided (Recognized),raghuveer park 2 nikol gam road ahmedabad,1 To 8,Ahmedabad,Amc,NA,,,"Nikol, Ahmedabad (M.Corp.) Ward No. 24",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,A B VIDHYALAY,5-Pvt. Unaided (Recognized),BAPUNAGAR CHAR RASTA BAPUNAGAR,1 To 8,Ahmedabad,Amc,NA,,,"Bapurnagar, Ahmedabad (M.Corp.) Ward No. 26",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,A.B. VIDHYALAY- BAPUNAGAR,5-Pvt. Unaided (Recognized),bapunagar char rasta ahmedabad,9 To 12,Ahmedabad,Amc,NA,,,"Bapurnagar, Ahmedabad (M.Corp.) Ward No. 26",,,10-Secondary with Higher Secondary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
