state,district,school_name,School Management,Address,Class,Edu. District,Edu. Block,LGD Block,LGD Panchayat,LGD Village,LGD Ward,class,School Type,School Category,School Location,School Type,State,Urban Local Body
GUJARAT,BANAS KANTHA,ARJANPURA PRI. SCH.,3-Local Body,AT ARAJANPURA TA VAV DIST BANASKANTHA,1 To 8,Vav,,Vav,Arjanpura,Arjanpura,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,A R MUNSHI HIGH SCHOOL RATANPUR,5-Pvt. Unaided (Recognized),AT RATANPUR PO PUNJPUR TA DANTA,11 To 12,Danta,,Danta,Ratanpur,Ratanpur,,,,11-Higher Secondary only/Jr. College,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ARNIVADA PRI. SCH.,3-Local Body,ARANIVA TA-AMIRGADH DIST-BANASKANTHA,1 To 5,Amirgadh,,Amirgadh,Deri,Awala (Arniwada),,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,AROMA HIGHSCH.,5-Pvt. Unaided (Recognized),NA,9 To 10,Palanpur,,NA,NA,,,,,8-Secondary Only,9-NA,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASAJIPURA (SHIHORI) PRI. SCH.,3-Local Body,ASAJIPURA SHIHORI PRI. SCH. At SHIHORI Ta KANKREJ,,Kankarej,,Kankrej,Shihori,Shihori,,1 To 5,3-Co-educational,1-Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,ASANA PRI. SCH.,3-Local Body,AT.ASANA PO.KUVALA TA.BHABHAR DIST.BANASKANTHA,,Bhabhar,,Bhabhar,Asana,Asana,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,ASARAGAM PRI. SCH.,3-Local Body,AT ASARAGAM TA VAV DIST BANASKANTHA,1 To 8,Vav,,Vav,Asaragam,Asaragam,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASARAVAS PRI. SCH.,3-Local Body,AT ASARAVAS TA VAV DIST BANASKANTHA,1 To 8,Vav,,Vav,Asaravas,Asaravas,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASASAN PRI. SCH.,3-Local Body,ASASAN PRI. SCH. ASASAN LAKHANI,1 To 8,Lakhani,,Lakhani,Asasan,Asasan,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASCENT SCHOOLING ENG MED,5-Pvt. Unaided (Recognized),"NR. LADBI NALA, DEESA HIGHWAY, PALANPUR",1 To 8,Palanpur,,Palanpur,Akesan,Akesan,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASCENT SCHOOLING PRI SCH. GUJ MED,5-Pvt. Unaided (Recognized),"NR LADBI NALA, DEESA HIGHWAY, PALANPUR",1 To 8,Palanpur,,Palanpur,Akesan,Akesan,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASCENT SCHOOL OF SCIENCE,5-Pvt. Unaided (Recognized),"B/H MEDIPOLISH, NR LADBI NALA, DEESA HIGHWAY, PALANPUR",,Palanpur,,Palanpur,Akesan,Akesan,,11 To 12,3-Co-educational,11-Higher Secondary only/Jr. College,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,ASEDA PRI. SCH.,3-Local Body,AT AND POST ASEDA TA.DEESA,1 To 8,Deesa,,Deesa,Aseda,Aseda,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASHAPURA HIGH SCHOOL,5-Pvt. Unaided (Recognized),NEAR MARKET YARD SANCHOR ROAD THARAD TA-THARAD DIST-B.K. GUJARAT,,Tharad,,NA,,,Tharad (M) - Ward No.2,9 To 12,3-Co-educational,10-Secondary with Higher Secondary,2-Urban,,Gujarat,Tharad-Municipality
GUJARAT,BANAS KANTHA,ASHAPURI PRI. SCH.,5-Pvt. Unaided (Recognized),TA-DHANERA DIST-BANASKANTHA,1 To 8,Dhanera,,NA,,,Dhanera (M) - Ward No.2,,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Dhanera-Municipality
GUJARAT,BANAS KANTHA,ASHA VIDYALAY - SANGRA,4-Government Aided,"AT. SANGRA, TA. PALANPUR, DIST BK",9 To 12,Palanpur,,Palanpur,Sangra,Sangra,,,,10-Secondary with Higher Secondary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASHIYA PRI. SCH.,3-Local Body,AT- ASHIYA PO-SARAL TA-DHANERA DIST-BANASKANTHA,,Dhanera,,Dhanera,Aashiya,Asiya,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,"ASHRAM SCH. ADIVASI, CHITRASANI",2-Tribal Welfare Department,"AT SAGHANKSHETRA, CHITRASANI, TA. PALANPUR, DIST BK.",,Palanpur,,Palanpur,Chitrasani,Chitrasani,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,ASHRAM SHALA CHEKRA,2-Tribal Welfare Department,NA,1 To 8,Lakhani,,NA,NA,,,,,2-Primary with Upper Primary,9-NA,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASKARI UNIVERSAL SCHOOL,5-Pvt. Unaided (Recognized),Hauz-e-Ilmiya Campus Husain tekri road kanodar,1 To 10,Palanpur,,Palanpur,Kanodar,Kanodar (Ct),,,,6-Pr. Up Pr. and Secondary Only,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASMAPURA(GOLA) PRI. SCH.,3-Local Body,"AT. ASMAPURA GOLA, TA. PALANPUR, DIST BK",1 To 5,Palanpur,,Palanpur,Gola,Asmapura (Gola),,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASMAPURA(KA) PRI. SCH.,3-Local Body,"ASMAPURA KARJODA, TA. PALANPUR, DIST BK",1 To 5,Palanpur,,Palanpur,Asmapura (Karjoda),Asmapura (Karjoda),,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ASODAR PRI. SCH.,3-Local Body,AT-PO-ASODAR TA-THARAD DIST-B.K.,1 To 8,Tharad,,Tharad,Asodar,Asodar,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,ATUMBIYAVAS (AR) PRI. SCH.,3-Local Body,ATUMBIYAVAS ARNIVADA PRI. SCH. At ARNIWADA Ta KANKREJ,,Kankarej,,Kankrej,Arniwada,Arniwada,,1 To 5,3-Co-educational,1-Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,ATUMBIYAVAS(VADA) PRI. SCH.,3-Local Body,ATUBIYAVAS VADA PRI. SCH. At VADA Ta KANKREJ,,Kankarej,,Kankrej,Vada Thakorvas,Vada,,1 To 5,3-Co-educational,1-Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,AVALA PRI. SCH.,3-Local Body,"AVALA, TA-AMIRGADH DIST- BANASKANTHA",1 To 5,Amirgadh,,Amirgadh,Deri,Awala (Arniwada),,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,AVAL ENGLISH AND GUJARATI MEDIUM SCHOOL,5-Pvt. Unaided (Recognized),VANDANA BANGLOWS DEESA HIGH WAY TA.DEESA,,Deesa,,NA,,,Deesa (M) - Ward No.3,1 To 5,3-Co-educational,1-Primary,2-Urban,,Gujarat,Deesa-Municipality
GUJARAT,BANAS KANTHA,"AVAL ENGLISH MEDIUM SCHOOL, DEESA",5-Pvt. Unaided (Recognized),ICON GOLD SHOPING CENTER JAYANT NAGAR TA.DEESA,,Deesa,,NA,,,Deesa (M) - Ward No.3,1 To 5,3-Co-educational,1-Primary,2-Urban,,Gujarat,Deesa-Municipality
GUJARAT,BANAS KANTHA,AVALGHUMTI PRI. SCH,3-Local Body,AVALGHUMTI TA AMIRGADH,1 To 8,Amirgadh,,Amirgadh,Awal,Awal,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,AVAL PRI. SCH.,3-Local Body,AVAL PRI SCHOOL TA AMIRGADH,1 To 8,Amirgadh,,Amirgadh,Awal,Awal,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,AVANIPURA (JA) PRI. SCH.,3-Local Body,AT JASANWADA TA BHABHAR DIST B.K,1 To 5,Bhabhar,,Bhabhar,Jasanwada,Jasanwada,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BABALBHAI MEHTA VIDHYALAY TADAV,4-Government Aided,UTTAR BUNIYADI VIDHYALAYA,9 To 12,Vav,,Vav,Tadav,Tadav,,,,10-Secondary with Higher Secondary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BADARGADH PRI. SCH.,3-Local Body,"AT. BADARGAH, TA. PALANPUR, DIST BK",1 To 8,Palanpur,,Palanpur,Badargadh,Badargadh,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BADARPURA(BHUTEDI) PRI. SCH.,3-Local Body,"AT BADARPURA BHUTEDI, TA. PALANPUR, DIST BK",,Palanpur,,Palanpur,Badarpura (Bhutedi),Badarpura (Bhutedi),,1 To 5,3-Co-educational,1-Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BADARPURA(KALUSAN) PRI. SCH.,3-Local Body,"AT-BADARPURA KALUSAN PO-KANODAR, TA-PALANPUR, DIST-BANASKANTHA",,Palanpur,,Palanpur,Badarpura (Kalusana),Badarpura (Kalusana),,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BADARPURA(KHODLA) PRI. SCH.,3-Local Body,"AT BADARPURA, TA. PALANPUR, DIST BK",1 To 8,Palanpur,,Palanpur,Badarpura (Khodla),Badarpura (Khodla),,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BADARPURA(KU) PRI. SCH.,3-Local Body,BADARPURA PRIMARY SCHOOL AT KUVALA TA BHABHAR DIST B.K,,Bhabhar,,Bhabhar,Kuvala,Kuvala,,1 To 5,3-Co-educational,1-Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BADARPURA PRI. SCH.,3-Local Body,"BADARPURA PRI.SCH. TA.VADGAM, DIST.BK",1 To 5,Vadgam,,Vadgam,Mepada,Mepada,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BAHISARA PRI. SCH.,3-Local Body,AT BAHISARA TA VAV DIST BANASKANTHA,1 To 8,Vav,,Vav,Vasarda,Bahisara,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BAHUCHARPURA PRI. SCH.,3-Local Body,BAHUCHARPURA PRI. SCH. At BAHUCHARPURA Ta KANKREJ,,Kankarej,,Kankrej,Tatiyana,Tatiyana,,1 To 5,3-Co-educational,1-Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BAIWADA PRI. SCH.,3-Local Body,"AT PO BAIWADA, TA DEESA, DIST BANASKANTHA",,Deesa,,Deesa,Baiwada,Baiwada,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BAIYAK PRI. SCH.,3-Local Body,AT BAIYAK TA VAV DIST BANASKANTHA,1 To 8,Vav,,Vav,Baiyak,Baiyak,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BAJARVADA PRI. SCH.,3-Local Body,AT - BAJARWADA TA - DANTA DIST - B.K.,1 To 5,Danta,,Danta,Mahobatgadh (Hadad),Kodaravi Ranpur,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BAJRANGPURA PRI. SCH.,3-Local Body,"BAJRANGPURA PRIMARY SCHOOL, TA- DANTIWADA",,Dantiwada,,Dantivada,Bhadli Kotha,Bhadli Kotha,,1 To 5,3-Co-educational,1-Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BALOCHPUR PRI. SCH.,3-Local Body,BALOCHPUR PRI. SCH. At BALOCHPUR Ta KANKREJ,,Kankarej,,Kankrej,Balochpura,Balochpura,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BALODHAN PAY CENTER SCH.,3-Local Body,AT POST BALODHAN TA BHABHAR,1 To 8,Bhabhar,,Bhabhar,Balodhan,Balodhan,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BALODHAR PRI. SCH.,3-Local Body,BALODHAR POST BALODHAR TA.DEESA,1 To 8,Deesa,,Deesa,Balodhar,Balodhar,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BALUNDRA PRI. SCH.,3-Local Body,"balundra, ta- amirgadh dist- banaskantha",1 To 8,Amirgadh,,Amirgadh,Balundra,Balundra,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BALUNTRI PRI. SCH.,3-Local Body,AT BALUNTRI TA VAV DIST BANASKANTHA,1 To 8,Vav,,Vav,Baluntri,Baluntri,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BALVANTPURA PRI. SCH.,3-Local Body,AT BALVANTPURA PO PUNJPUR TA DANTA,1 To 5,Danta,,Danta,Punjpur,Balvantpura,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BAMANIYA PRI. SCH.,3-Local Body,AT - BAMANIYA POST - MORIYA TA - DANTA DIST - B.K.,,Danta,,Danta,Bamaniya,Bamaniya,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BAMNOJ PAY CENTER SCH.,3-Local Body,AT POST - BAMNOJ TA - DANTA DIST - B.K.,1 To 8,Danta,,Danta,Bamnoj,Bamnoj,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BANAS SAINIK SCHOOL,5-Pvt. Unaided (Recognized),"NR  BANAS MEDICAL COLLEGE AT MORIYA, TA PALANPUR, DIST BK",,Palanpur,,Palanpur,Moriya,Moriya,,6 To 8,3-Co-educational,4-Upper Primary only,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BANODARA PRI. SCH.,3-Local Body,AT - BANODARA TA - DANTA DIST - B.K.,1 To 8,Danta,,Danta,Navavas Kanth,Banodara,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BANTAVADA PRI. SCH.,3-Local Body,"bantawada, ta-amirgadh dist-banaskantha",1 To 5,Amirgadh,,Amirgadh,Jethi,Bantawada,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BAPLA PAY CENTER SCH.,3-Local Body,TO-BAPLA TA-DHANERA DIST-BANASKANTHA,1 To 8,Dhanera,,Dhanera,Bapla,Bapla,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BARADVI PRI. SCH.,3-Local Body,AT BARADVI TA VAV DIST BANASKANTHA,1 To 8,Vav,,Vav,Kundaliya,Baradvi,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BARVALA PRI. SCH.,3-Local Body,BARVALA ANUPAM PRI SCHOOL,1 To 8,Bhabhar,,Bhabhar,Barvala,Barvala,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BARVAS PRI. SCH.,3-Local Body,AT - BARVAS POST - JAMRU TA - DANTA DIST - B.K.,,Danta,,Danta,Barvas,Barvas,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BASU PAY CENTER SCHOOL NO 1,3-Local Body,"BASU PAY CENTER, TA.VADGAM, DIST.BK",1 To 8,Vadgam,,Vadgam,Basu,Basu,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BASU PRI.SCH.NO-2,3-Local Body,"BASU PRI.SCH.-2, TA.VADGAM,DIST.BK",1 To 8,Vadgam,,Vadgam,Basu,Basu,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BAVAL CHUDI PRI. SCH.,3-Local Body,"BAVALCHUDI PRI.SCH.TA.VADGAM,DIST.BK",1 To 8,Vadgam,,Vadgam,Bavalchudi,Bavalchudi,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,B.B.FOSHI AND N.P.SALVI SEC. AND SWASTIK HIGHER SEC. SCH. IQBALGADH,5-Pvt. Unaided (Recognized),AT-post-Iqbalgadh ta-AMIRGADH DIST-B.K.,9 To 12,Amirgadh,,Amirgadh,Iqbalgadh,Iqbalgadh,,,,10-Secondary with Higher Secondary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,B.C.CHAUDHARY SECONDARY SCHOOL,4-Government Aided,B.C CHAUDHARY SEC AND HI SECONDARY SCHOOL AT - POST - JEGOL TA- DANTIWADA,,Dantiwada,,Dantivada,Jegol,Jegol,,9 To 12,3-Co-educational,10-Secondary with Higher Secondary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,"B. D. MAHETA ARASURI PRI. SCH., AMBAJI",5-Pvt. Unaided (Recognized),AT - AMBAJI TA - DANTA DIST - B.K.,1 To 8,Danta,,Danta,Ambaji,Ambaji (Ct),,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BECHARPURA PRI. SCH.,3-Local Body,kumpat ta deesa dist banaskantha,1 To 5,Deesa,,Deesa,Kumpat,Kumpat,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BEDAPANI PRI. SCH.,3-Local Body,AT BEDAPANI TA DANTA,1 To 5,Danta,,Danta,Sembalpani,Bedapani,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BEDA PRI. SCH.,3-Local Body,AT - BEDA POST - JAMARU TA - DANTA DIST - B.K.,1 To 8,Danta,,Danta,Beda,Beda,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BEGADIYAVAS PRI. SCH.,3-Local Body,AT - BEGADIYAVAS POST - HADAD TA - DANTA DIST - B.K.,,Danta,,Danta,Kesarpura,Begadiyavas,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BENAP PAY CENTER SCH.,3-Local Body,"BENAP PRIMARY SCHOOL, AT POST BENAP, TA SUIGAM, DIST B.K.",,Suigam,,Suigam,Benap,Benap,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BENAVAS(UM) PRI. SCH.,3-Local Body,BENAVAS UMBARI PRI. SCH. At UMBARI Ta KANKREJ,,Kankarej,,Kankrej,Chhapara Golia,Umbri,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BENAVAS (VADA) PRI. SCH,3-Local Body,BENAVAS VADA PRI. SCH At VADA Ta KANKREJ,1 To 5,Kankarej,,Kankrej,Vada Thakorvas,Vada,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BENTHANY CONVENT SECONDARY SCHOOL (GUJ) LIMBOI,5-Pvt. Unaided (Recognized),"BETHANY CONVENT SECONDRY SCHOOL GUJ. LIMBOI TA.VADGAM,DIST.BK",,Vadgam,,Vadgam,Limboi,Limboi,,1 To 10,3-Co-educational,6-Pr. Up Pr. and Secondary Only,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BETALIYA PRI.SCH.,3-Local Body,AT-BETALIYA PO-NAROLI TA-THARAD DIST-B.K.,1 To 8,Tharad,,Tharad,Vaghasan,Betaliya,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BETHANY CONVENT SCHOOL (ENG) LIMBOI,5-Pvt. Unaided (Recognized),BETHANY CONVENT SCHOOL ENG. LIMBOI,1 To 10,Vadgam,,Vadgam,Limboi,Limboi,,,,6-Pr. Up Pr. and Secondary Only,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BETHANY CONVENT SCHOOL (GUJ) LIMBOI,5-Pvt. Unaided (Recognized),BETHANY CONVENT SCHOOL GUJ LIMBOI,1 To 10,Vadgam,,Vadgam,Limboi,Limboi,,,,6-Pr. Up Pr. and Secondary Only,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BETHANY CONVENT SECONDARY SCHOOL (ENG) LIMBOI,5-Pvt. Unaided (Recognized),"BETHANI CONVENT SECONDRY SCHOOL ENG. LIMBOI, TA.VADGAM,DIST.BK",,Vadgam,,Vadgam,Limboi,Limboi,,1 To 10,3-Co-educational,6-Pr. Up Pr. and Secondary Only,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BEVATADHANI PRI. SCH.,3-Local Body,AT-PO-BEVATA TA-THARAD DIST-B.K.,1 To 5,Tharad,,Tharad,Bevata,Bevata,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BEVATA PRI. SCH.,3-Local Body,AT-PO-BEVATA TA-THARAD DIST-B.K.,1 To 8,Tharad,,Tharad,Bevata,Bevata,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHABHAR JUNA PAY. CENTER SCH.,3-Local Body,BHABHAR TA BHABHAR DIST B.K,1 To 8,Bhabhar,,NA,,,Bhabhar (M) - Ward No.3,,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Bhabhar-Municipality
GUJARAT,BANAS KANTHA,BHABHAR NAVA 1 PRI. ENGLISH MED.SCHOOL,3-Local Body,At-Post Bhabhar Ta Bhabhar Near Ploish Staion,1 To 5,Bhabhar,,NA,,,Bhabhar (M) - Ward No.5,,,1-Primary,2-Urban,3-Co-educational,Gujarat,Bhabhar-Municipality
GUJARAT,BANAS KANTHA,BHABHAR NAVA PRI. SCH. -1,3-Local Body,Near Azad Chok bhabhar,1 To 8,Bhabhar,,NA,,,Bhabhar (M) - Ward No.5,,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Bhabhar-Municipality
GUJARAT,BANAS KANTHA,BHABHAR NAVA PRI. SCH-2,3-Local Body,kADIYA vISTAR BHABHAR NAGAR PALIKA,1 To 8,Bhabhar,,NA,,,Bhabhar (M) - Ward No.4,,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Bhabhar-Municipality
GUJARAT,BANAS KANTHA,BHABHAR NAVA PRI. SCH. -3,3-Local Body,BHABHAR NAVA PRI SCHOOL TA BHABHAR DIST B.K,,Bhabhar,,NA,,,Bhabhar (M) - Ward No.2,1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Bhabhar-Municipality
GUJARAT,BANAS KANTHA,BHABHAR NAVA PRI. SCH.-4,3-Local Body,At-Post Bhabhar Near DEsai Vas,1 To 8,Bhabhar,,NA,,,Bhabhar (M) - Ward No.5,,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Bhabhar-Municipality
GUJARAT,BANAS KANTHA,BHACHADIYA PRIMARY SCH.,3-Local Body,AT - BHACHADIYA POST - RANGPUR TA - DANTA DIST - B.K.,,Danta,,Danta,Bhachadiya,Bhachadiya,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,BANAS KANTHA,BHACHALI PRI. SCH.,3-Local Body,AT BHACHALI TA VAV DIST BANASKANTHA,1 To 8,Vav,,Vav,Bhachali,Bhachali,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHACHALVAPARA PRI. SCH.,3-Local Body,AT-PO-BHACHALVA TA-DEESA DIST-B.K.,1 To 8,Deesa,,Deesa,Bhachalva,Bhachalva,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHACHALVA PRI. SCH.,3-Local Body,AT-PO- BHACHLVA TA-DEESA DIST-B.K.,1 To 8,Deesa,,Deesa,Bhachalva,Bhachalva,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHACHAR PAY CENTER SCH.,3-Local Body,AT-PO-BHACHAR TA-THARAD DIST-B.K.,1 To 8,Tharad,,Tharad,Bhachar,Bhachar,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHADALI(ZAT) PRI. SCH.,3-Local Body,"BHADALI ZAT PRIMARY SCHOOL, NEAR THE GRAM PANCHAYAT, AT- BHADALI ZAT, TA- DANTIWADA",1 To 8,Dantiwada,,Dantivada,Bhadali (Zat),Bhadali (Zat),,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHADARA PRI. SCH.,3-Local Body,AT BHDARA TA DEESA DIST BANASKANTHA,1 To 8,Deesa,,Deesa,Bhadra,Bhadra,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHADATH P. CE. PRI. SCH.,3-Local Body,bhadath ta deesa dist banaskantha,1 To 8,Deesa,,Deesa,Bhadath,Bhadath,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHADATH PRI. SCH.,3-Local Body,"bhadath, ta- amirgadh",1 To 5,Amirgadh,,Amirgadh,Jethi,Jethi,,,,1-Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHADKASAR PRI. SCH.,3-Local Body,BHADKASAR PRI SCH TA DEODAR DIST BK,1 To 8,Deodar,,Deodar,Bhadkasar,Bhadkasar,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHADLI(KOTHA) PRI. SCH.,3-Local Body,"AT POST - BHADLIKOTHA , TA - DANTIWADA",1 To 8,Dantiwada,,Dantivada,Bhadli Kotha,Bhadli Kotha,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,BANAS KANTHA,BHADODAR PRI. SCH.,3-Local Body,AT-PO-BHADODAR TA-THARAD DIST-B.K.,1 To 8,Tharad,,Tharad,Savpura,Bhadodar,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
